id,course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,limit,limit2,split,remarks
98,HL331a,01,비판적 사고와 글쓰기,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,6,
99,HL338,01,언어학입문,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
100,HL344,01,"인문학특강 - 마음, 두뇌, 컴퓨터 - 현대 심리철학",교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
101,HL344,02,인문학특강 - 산업과 법,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,0,0,6,
102,HL345,01,한국정치의 이해 ,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,"3,3",
103,HL346,01,한국 사회의 이해,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
104,HL370a,01,생체분자론(이론),교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),2.0,2.0,0.0,15,0,4,영어강의(Delivered in English)
105,HL370b,01,생체분자론(실습),교선필수,교과,실습,DGIST특성화,융복합(UGRP/기타),1.0,0.0,2.0,15,0,4,
106,HL474a,01,기술평가 실무,교선필수,교과,이론,DGIST특성화,비이공계리더,3.0,3.0,0.0,30,20,"3,3",
107,HL482,01,기술벤처 Ⅱ,교선필수,교과,이론,DGIST특성화,창업리더,3.0,3.0,0.0,60,0,"3,3",
108,IC567,01,EE:선형시스템 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,15,15,"3,3",영어강의(Delivered in English)
109,IC580,01,EE : 전자기기의 기초 (이.공) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,15,15,"3,3",영어강의(Delivered in English)
110,IC586,01, EE: 바이오 전자 개론(공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,20,"3,3",영어강의(Delivered in English)
111,IC607,01,CS:운영체제 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",영어강의(Delivered in English) / C/C++ 프로그래밍이 가능한 학생만 수강할 것
112,IC667,01,EE&CSE: 컨벡스 최적화(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,20,25,"3,3",영어강의(Delivered in English)
113,NB513,01,고급 세포 생물학 (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,11,0,"3,3",영어강의(Delivered in English)
114,NB516,01,고급 생화학(이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
115,NB526,01,세포신호전달과 생명 연속성 (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
116,NB529,01,생물통계학 (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
117,NB542,01,생물 의학 (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
118,NB544,01,식물유전공학 (이) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
119,NB551,01,단분자 생물물리 (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
120,NB553,01,질량분석과 단백체학(이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
121,NB606,01,중개 의학 개론(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
122,NB607,01,생명과학도를 위한 주요 질환 소개(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
123,RT512,01,생체신호 측정 및 처리(공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
124,RT623,01,"나노과학 기술입문(이,공)",교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
125,RT624,01,모터시스템제어(공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
126,SE102a,01,다변수 미적분학,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,60,0,"3,3","동일과목 : (SE102) 다변수 미적분학, (SE114) 다변수 미적분학 연습"
127,SE102a,02,다변수 미적분학,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,60,0,"3,3","동일과목 : (SE102) 다변수 미적분학, (SE114) 다변수 미적분학 연습"
128,SE102a,03,다변수 미적분학,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,60,0,"3,3","동일과목 : (SE102) 다변수 미적분학, (SE114) 다변수 미적분학 연습"
129,SE102a,04,다변수 미적분학,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,60,0,"3,3","동일과목 : (SE102) 다변수 미적분학, (SE114) 다변수 미적분학 연습"
130,SE105,01,전자기학,공통필수,교과,이론,기초과학,물리,3.0,3.0,0.0,65,0,"3,3",
131,SE105,02,전자기학,공통필수,교과,이론,기초과학,물리,3.0,3.0,0.0,65,0,"3,3",
132,SE105a,01,전자기학-심화,공통필수,교과,이론,기초과학,물리,3.0,3.0,0.0,65,0,"3,3",
133,SE105b,01,전자기학-기초,공통필수,교과,이론,기초과학,물리,3.0,3.0,0.0,65,0,"3,3",
134,SE106,01,전자기학실험,공통필수,교과,실습,기초과학,물리,1.0,0.0,2.0,20,0,4,
135,SE106,02,전자기학실험,공통필수,교과,실습,기초과학,물리,1.0,0.0,2.0,20,0,4,
136,SE106,03,전자기학실험,공통필수,교과,실습,기초과학,물리,1.0,0.0,2.0,20,0,4,
137,SE106,04,전자기학실험,공통필수,교과,실습,기초과학,물리,1.0,0.0,2.0,20,0,4,
138,SE106,05,전자기학실험,공통필수,교과,실습,기초과학,물리,1.0,0.0,2.0,20,0,4,
139,SE106,06,전자기학실험,공통필수,교과,실습,기초과학,물리,1.0,0.0,2.0,20,0,4,
140,SE106,07,전자기학실험,공통필수,교과,실습,기초과학,물리,1.0,0.0,2.0,20,0,4,
141,SE108a,01,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
142,SE108a,02,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
143,SE108a,03,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
144,SE108a,04,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
145,SE108a,05,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
146,SE108a,06,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
147,SE108a,07,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
148,SE108a,08,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
149,SE108a,09,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
150,SE108a,10,기초화학실험,공통필수,교과,실습,기초과학,화학,1.0,0.0,2.0,22,0,4,동일과목 : (SE108) 기초화학실험 I
151,SE109,01,화학 반응의 이해,공통필수,교과,이론,기초과학,화학,3.0,3.0,0.0,55,0,"3,3",
152,SE109,02,화학 반응의 이해,공통필수,교과,이론,기초과학,화학,3.0,3.0,0.0,55,0,"3,3",
153,SE109,03,화학 반응의 이해,공통필수,교과,이론,기초과학,화학,3.0,3.0,0.0,55,0,"3,3",
154,SE109,04,화학 반응의 이해,공통필수,교과,이론,기초과학,화학,3.0,3.0,0.0,55,0,"3,3",
155,SE111,01,분자와 생명현상,공통필수,교과,이론,기초과학,생물,3.0,3.0,0.0,60,0,"3,3",
156,SE111,02,분자와 생명현상,공통필수,교과,이론,기초과학,생물,3.0,3.0,0.0,60,0,"3,3",
157,SE111a,01,분자와 생명현상-심화,공통필수,교과,이론,기초과학,생물,3.0,3.0,0.0,60,0,"3,3",
158,SE111b,01,분자와 생명현상-기초,공통필수,교과,이론,기초과학,생물,3.0,3.0,0.0,60,0,"3,3",
159,SE112,01,분자와 생명현상 실험,공통필수,교과,실습,기초과학,생물,1.0,0.0,2.0,24,0,4,
160,SE112,02,분자와 생명현상 실험,공통필수,교과,실습,기초과학,생물,1.0,0.0,2.0,24,0,4,
161,SE112,03,분자와 생명현상 실험,공통필수,교과,실습,기초과학,생물,1.0,0.0,2.0,24,0,4,
162,SE112,04,분자와 생명현상 실험,공통필수,교과,실습,기초과학,생물,1.0,0.0,2.0,24,0,4,
163,SE112,05,분자와 생명현상 실험,공통필수,교과,실습,기초과학,생물,1.0,0.0,2.0,24,0,4,
164,SE112,06,분자와 생명현상 실험,공통필수,교과,실습,기초과학,생물,1.0,0.0,2.0,24,0,4,
165,SE112,07,분자와 생명현상 실험,공통필수,교과,실습,기초과학,생물,1.0,0.0,2.0,0,0,4,
166,SE118,01,디자인 사고,공통필수,교과,이론,기초공학,디자인 사고,3.0,3.0,0.0,45,0,6,동일과목 : (SE302) 디자인공학
167,SE118,02,디자인 사고,공통필수,교과,이론,기초공학,디자인 사고,3.0,3.0,0.0,45,0,6,동일과목 : (SE302) 디자인공학
168,SE202b,01,복합 공학 수학,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,15,0,"3,3","동일과목 : (SE202) 복합 공학 수학, (SE209) 복합 공학 수학 연습 / 2014~2017학번에 한하여 신청 가능"
169,SE202b,02,복합 공학 수학,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,15,0,"3,3","동일과목 : (SE202) 복합 공학 수학, (SE209) 복합 공학 수학 연습 / 2014~2017학번에 한하여 신청 가능"
170,SE202c,01,복합 공학 수학 - 심화,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,15,0,"3,3","동일과목 : (SE202a) 복합 공학 수학 - 심화, (SE209a) 복합 공학 수학 연습  - 심화 / 2014~2017학번만 신청 가능"
171,SE206a,01,확률과 통계 및 실습,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,55,0,"3,3","동일과목 : (SE206) 확률과 통계(이론), (SE211) 확률과 통계(실습) / 2018학번 이후 학번만 신청 가능"
172,SE206a,02,확률과 통계 및 실습,공통필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,55,0,"3,3","동일과목 : (SE206) 확률과 통계(이론), (SE211) 확률과 통계(실습) / 2018학번 이후 학번만 신청 가능"
173,SE211a,01,확률과 통계 및 실습,공통필수,교과,이론및실습,기초공학,통계,3.0,3.0,1.0,15,0,"3,3","동일과목 : (SE206) 확률과 통계(이론), (SE211) 확률과 통계(실습) / 2014~2017학번만 신청 가능"
174,SE211a,02,확률과 통계 및 실습,공통필수,교과,이론및실습,기초공학,통계,3.0,3.0,1.0,15,0,"3,3","동일과목 : (SE206) 확률과 통계(이론), (SE211) 확률과 통계(실습) / 2014~2017학번만 신청 가능"
175,SE212,01,세포와 생명현상,공통필수,교과,이론,기초과학,생물,2.0,2.0,0.0,30,0,4,2014~2017학번만 신청 가능
176,SE214a,01,자동제어시스템(이론),공통필수,교과,이론,기초공학,자동제어,2.0,2.0,0.0,55,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301a) 자동제어시스템(이론)"
177,SE214a,02,자동제어시스템(이론),공통필수,교과,이론,기초공학,자동제어,2.0,2.0,0.0,55,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301a) 자동제어시스템(이론)"
178,SE214a,03,자동제어시스템(이론),공통필수,교과,이론,기초공학,자동제어,2.0,2.0,0.0,55,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301a) 자동제어시스템(이론)"
